ciclo;curso;nombre;apellido1;apellido2;nota1;nota2;nota3;nota4;nota5
DAM;1;Isaac;Pinar;Ruiz;7;5;3;0;7
DAM;1;Paula;Abascal;Pinar;3;1;4;10;4
DAM;1;Paula;Casado;Abascal;1;6;2;9;0
DAM;1;Paula;Pinar;Ruiz;8;10;2;7;4
DAM;1;Isabel;Cordero;Casado;1;10;1;3;3
DAM;1;Isaac;Pinar;Iglesias;1;5;1;6;5
DAM;1;Isaac;Casado;Ruiz;3;9;2;7;0
DAM;1;Isabel;Santos;Ruiz;3;2;4;6;3
DAM;1;Paula;Iglesias;Rivera;1;3;9;3;8
DAM;1;Isaac;Casado;Santos;8;5;1;3;3
DAM;1;Hugo;Rojo;Cordero;3;8;4;5;6
DAM;1;David;Pinar;Contador;6;3;3;8;0
DAM;1;David;Posada;Teruel;4;0;3;6;0
DAM;1;Pablo;Rivera;Contador;10;2;7;5;4
DAM;1;Pedro;Posada;Ruiz;5;9;3;2;10
DAM;1;Juan;Rivera;Cordero;9;6;6;8;2
DAM;1;Alba;Rivera;Zamora;2;5;8;1;9
DAM;1;Miriam;Rivera;Posada;0;9;1;1;6
DAM;1;Miriam;Rojo;Rojo;1;8;2;0;8
DAM;2;Marta;Posada;Casado;4;8;0;0;7
DAM;2;Paula;Abascal;Teruel;4;1;6;10;3
DAM;2;Isaac;Zamora;Santos;6;0;5;9;1
DAM;2;Lourdes;Abascal;Posada;10;8;9;6;2
DAM;2;David;Zamora;Cordero;1;5;6;2;6
DAM;2;Sara;Contador;Rivera;8;0;2;8;6
DAM;2;David;Iglesias;Contador;8;3;10;2;6
DAM;2;David;Pinar;Posada;10;3;8;9;7
DAM;2;Alicia;Rojo;Santos;9;3;9;4;6
DAM;2;Alicia;Rivera;Abascal;3;9;4;7;3
DAM;2;Isabel;Posada;Iglesias;4;0;9;3;4
DAM;2;Miguel;Pinar;Ruiz;6;7;0;0;0
DAM;2;Miriam;Abascal;Ruiz;8;8;0;8;3
DAM;2;Paula;Posada;Ruiz;5;9;2;10;6
DAM;2;Pablo;Contador;Rivera;6;9;1;8;3
DAM;2;Pedro;Pinar;Posada;5;3;7;5;0
DAM;2;Isaac;Ruiz;Zamora;8;7;1;2;5
EDI;1;David;Cordero;Iglesias;10;0;1;0;10
EDI;1;Sara;Teruel;Posada;2;5;8;7;8
EDI;1;Alicia;Casado;Rivera;8;3;6;8;0
EDI;1;Lourdes;Iglesias;Posada;8;8;9;4;2
EDI;1;Miguel;Abascal;Posada;7;4;3;7;4
EDI;1;Pablo;Ruiz;Pinar;10;9;0;7;5
EDI;1;Lourdes;Rojo;Rivera;10;5;3;9;5
